Team,Win_Champion_Prob,Runner_Up_Prob,Make_Final_Prob
Spain,40.2796,9.0953,49.3749
Argentina,29.2883,8.6859,37.9742
France,12.8732,9.7376,22.6108
Brazil,2.9521,7.7877,10.7398
Morocco,2.4543,9.5797,12.0340
Portugal,2.0832,7.1309,9.2141
England,2.0386,6.6974,8.7360
Japan,1.9333,7.6733,9.6066
Germany,1.8738,6.1876,8.0614
Colombia,1.6391,7.4062,9.0453
Netherlands,0.7324,4.4231,5.1555
Ecuador,0.5380,3.8700,4.4080
Mexico,0.4519,1.8624,2.3143
Belgium,0.2545,2.0044,2.2589
Croatia,0.1952,1.9104,2.1056
Uruguay,0.0799,1.0160,1.0959
Switzerland,0.0660,0.9663,1.0323
Algeria,0.0574,0.7087,0.7661
Senegal,0.0564,0.7174,0.7738
Canada,0.0528,0.7981,0.8509
USA,0.0502,0.7911,0.8413
Austria,0.0166,0.2169,0.2335
Australia,0.0150,0.3184,0.3334
Norway,0.0088,0.1374,0.1462
Egypt,0.0037,0.1241,0.1278
Paraguay,0.0030,0.1013,0.1043
Uzbekistan,0.0023,0.0428,0.0451
Panama,0.0002,0.0048,0.0050
Scotland,0.0001,0.0010,0.0011
Sweden,0.0001,0.0016,0.0017
