Team,Group,Elo
Mexico,A,1841.53
South Africa,A,1623.95
South Korea,A,1500.0
Czech Republic,A,1500.0
Canada,B,1798.87
Bosnia and Herzegovina,B,1576.56
Qatar,B,1582.48
Switzerland,B,1806.75
Brazil,C,1906.76
Morocco,C,1901.03
Haiti,C,1614.17
Scotland,C,1694.24
USA,D,1799.4
Paraguay,D,1755.78
Australia,D,1783.92
Turkey,D,1500.0
Germany,E,1887.09
Curacao,E,1500.0
Ivory Coast,E,1500.0
Ecuador,E,1856.36
Netherlands,F,1863.36
Japan,F,1892.98
Sweden,F,1700.55
Tunisia,F,1685.27
Belgium,G,1829.98
Egypt,G,1756.09
Iran,G,1500.0
New Zealand,G,1613.57
Spain,H,2007.28
Cabo Verde,H,1635.29
Saudi Arabia,H,1642.74
Uruguay,H,1821.92
France,I,1963.67
Senegal,I,1813.93
Iraq,I,1704.41
Norway,I,1788.69
Argentina,J,2006.21
Algeria,J,1814.86
Austria,J,1794.03
Jordan,J,1679.18
Portugal,K,1894.96
DR Congo,K,1500.0
Uzbekistan,K,1753.15
Colombia,K,1890.84
England,L,1890.62
Croatia,L,1833.48
Ghana,L,1562.28
Panama,L,1718.28
